code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
BGD,BANGLADESH,1972,MtCO2,3.509,0.3556666666666666,2.427333333333333,0.715,0.011,0.0,3.6666666666666666e-05,0.0843333333333333
BGD,BANGLADESH,1973,MtCO2,4.554,0.462,2.933333333333333,1.144,0.0146666666666666,0.0,7.333333333333333e-05,0.1136666666666666
BGD,BANGLADESH,1974,MtCO2,4.660333333333333,0.4106666666666666,2.8196666666666665,1.3823333333333332,0.044,0.0,7.333333333333333e-05,0.0696666666666666
BGD,BANGLADESH,1975,MtCO2,4.869333333333333,0.473,3.3476666666666666,0.9643333333333332,0.0843333333333333,0.0,7.333333333333333e-05,0.077
BGD,BANGLADESH,1976,MtCO2,5.569666666666666,0.4473333333333333,3.63,1.4116666666666666,0.077,0.0,7.333333333333333e-05,0.0696666666666666
BGD,BANGLADESH,1977,MtCO2,5.811666666666666,0.5023333333333333,3.575,1.5803333333333334,0.154,0.0,7.333333333333333e-05,0.0916666666666666
BGD,BANGLADESH,1978,MtCO2,6.017,0.4216666666666666,3.751,1.6756666666666664,0.1686666666666666,0.0,7.333333333333333e-05,0.121
BGD,BANGLADESH,1979,MtCO2,6.647666666666666,0.3593333333333333,4.209333333333333,1.9176666666666664,0.1613333333333333,0.0,7.333333333333333e-05,0.0953333333333333
BGD,BANGLADESH,1980,MtCO2,7.637666666666666,0.4473333333333333,4.807,2.218333333333333,0.1686666666666666,0.0,0.0001099999999999,0.187
BGD,BANGLADESH,1981,MtCO2,7.931,0.4656666666666666,4.851,2.442,0.1723333333333333,0.0,0.0001099999999999,0.242
BGD,BANGLADESH,1982,MtCO2,8.598333333333333,0.5683333333333332,4.704333333333333,3.168,0.1613333333333333,0.0,0.0001099999999999,0.143
BGD,BANGLADESH,1983,MtCO2,8.235333333333331,0.3043333333333333,4.253333333333333,3.5236666666666667,0.154,0.0,0.0001099999999999,0.077
BGD,BANGLADESH,1984,MtCO2,9.122666666666666,0.1173333333333333,4.4,4.469666666666666,0.1356666666666666,0.0,0.0001099999999999,0.121
BGD,BANGLADESH,1985,MtCO2,10.233666666666666,0.187,4.84,5.089333333333333,0.121,0.0,0.0001099999999999,0.0806666666666666
BGD,BANGLADESH,1986,MtCO2,11.462,0.2823333333333333,5.294666666666666,5.738333333333333,0.1466666666666666,0.0,0.0001099999999999,0.055
BGD,BANGLADESH,1987,MtCO2,11.861666666666666,0.4436666666666666,5.331333333333333,5.932666666666666,0.154,0.0,0.0001099999999999,0.0476666666666666
BGD,BANGLADESH,1988,MtCO2,13.544666666666666,0.3813333333333333,6.006,7.003333333333333,0.154,0.0,0.0001466666666666,0.0476666666666666
BGD,BANGLADESH,1989,MtCO2,13.453,0.1026666666666666,5.771333333333333,7.421333333333333,0.1576666666666666,0.0,0.0001466666666666,0.0476666666666666
BGD,BANGLADESH,1990,MtCO2,15.532,1.0706666666666664,6.71,7.582666666666666,0.1686666666666666,0.0,0.0001466666666666,0.033
BGD,BANGLADESH,1991,MtCO2,15.939,0.341,6.398333333333333,9.064,0.1356666666666666,0.0,0.0001466666666666,0.0146666666666666
BGD,BANGLADESH,1992,MtCO2,17.746666666666663,0.3226666666666666,7.674333333333333,9.614,0.1356666666666666,0.0,0.0001466666666666,0.0
BGD,BANGLADESH,1993,MtCO2,17.405666666666665,0.121,6.750333333333333,10.398666666666664,0.1356666666666666,0.0,0.0001466666666666,0.0
BGD,BANGLADESH,1994,MtCO2,18.967666666666663,0.099,7.249,11.480333333333332,0.1393333333333333,0.0,0.0001466666666666,0.0
BGD,BANGLADESH,1995,MtCO2,22.814,1.221,8.418666666666667,13.038666666666666,0.1393333333333333,0.0,0.0001833333333333,0.1503333333333333
BGD,BANGLADESH,1996,MtCO2,24.027666666666665,0.6783333333333332,9.518666666666666,13.508,0.3226666666666666,0.0,0.0001833333333333,0.1576666666666666
BGD,BANGLADESH,1997,MtCO2,25.061666666666664,1.2283333333333333,10.057666666666666,13.273333333333332,0.506,0.0,0.0002199999999999,0.1393333333333333
BGD,BANGLADESH,1998,MtCO2,24.046,0.352,8.737666666666666,14.333,0.6196666666666666,0.0,0.0001833333333333,0.55
