code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
ETH,238,Ethiopia,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.19,1149.8712,1150.4669,1202.9202,1252.6559,1358.7208,1340.3932,1260.0068,1353.8401,1536.54,1497.018,1515.6148,1579.3465,1712.3072,1904.2982,2009.1241,2095.4248,2209.6665,2157.3065,2229.5711,2307.377,2389.3167,2432.4894,2509.0772,2571.3697,2583.2101,2611.9947,,1906.0058,2051.5988
ETH,238,Ethiopia,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.59,1124.666,1177.629,1330.006,1330.006,1306.598,1227.759,1314.654,1517.93,1484.541,1509.838,1594.808,1645.977,1871.312,1895.124,1951.008,2049.514,1998.639,2068.9,2083.533,,,,,,,,,
ETH,238,Ethiopia,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31925.32,32196.3925,32213.074,33681.7667,35074.3638,38044.1823,37531.0105,35280.1904,37907.5234,43023.1206,41916.504,42437.2153,44221.7023,47944.6019,53320.3484,56255.4745,58671.895,61870.6621,60404.5826,62427.9909,64606.5565,66900.8674,68109.7039,70254.162,71998.3504,72329.8816,73135.8512,,53368.163,57444.766
ETH,238,Ethiopia,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31264.52,31490.648,32973.612,37240.168,37240.168,36584.744,34377.252,36810.312,42502.04,41567.148,42275.464,44654.624,46087.356,52396.736,53063.472,54628.224,57386.392,55961.892,57929.2,58338.924,,,,,,,,,
ETH,238,Ethiopia,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31925.32,32196.3925,32213.074,33681.7667,35074.3638,38044.1823,37531.0105,35280.1904,37907.5234,43023.1206,41916.504,42437.2153,44221.7023,47944.6019,53320.3484,56255.4745,58671.895,61870.6621,60404.5826,62427.9909,64606.5565,66900.8674,68109.7039,70254.162,71998.3504,72329.8816,73135.8512,,53368.163,57444.766
ETH,238,Ethiopia,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31264.52,31490.648,32973.612,37240.168,37240.168,36584.744,34377.252,36810.312,42502.04,41567.148,42275.464,44654.624,46087.356,52396.736,53063.472,54628.224,57386.392,55961.892,57929.2,58338.924,,,,,,,,,
ETH,238,Ethiopia,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0554,39.0872,39.1174,40.7341,42.2909,45.6755,44.9112,42.3727,45.663,52.5664,51.1682,51.8445,54.5184,58.4325,64.851,67.4954,69.6809,73.477,71.7607,74.2177,76.8834,79.8417,81.6897,84.2759,86.5107,88.4697,89.5827,,65.2484,70.8531
ETH,238,Ethiopia,5059,Manure Management,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0581,41.9747,43.6678,48.8166,48.8166,47.9143,45.5636,48.7692,56.1923,54.8507,55.8686,58.7861,63.1793,70.1992,73.2579,75.6829,79.6912,77.8504,80.4595,81.415,,,,,,,,,
ETH,238,Ethiopia,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5652,0.5745,0.5721,0.5994,0.6264,0.6785,0.6696,0.6284,0.6801,0.7584,0.7395,0.7448,0.7649,0.8387,0.9307,0.9903,1.0517,1.1093,1.0831,1.1213,1.1537,1.1963,1.2146,1.2537,1.2828,1.2583,1.2719,,0.9701,1.1007
